issue_id,user_id,issue_type,description,reported_date,status,priority,app_version
627,816,Data Loss,Data not syncing with server,2025-03-09 09:19:24,Open,Medium,2.5.7
628,822,Crash,Search results take too long to load,2025-01-08 03:04:02,Open,High,2.4.5
629,971,Crash,Notifications are not received,2025-02-04 10:37:34,Open,Medium,1.3.9
630,79,Data Loss,App version mismatch after update,2025-05-23 20:18:49,Resolved,Medium,2.1.7
631,224,UI Bug,Scrolling is not smooth,2025-01-10 09:53:07,Resolved,Critical,3.1.1
632,334,Data Loss,Slow performance on home screen,2025-07-01 17:25:41,In Progress,Low,3.5.2
633,655,UI Bug,UI elements overlap on small screen,2025-03-24 00:01:17,Resolved,Medium,4.9.7
634,491,Other,Location services not detecting city,2025-09-03 01:15:00,Open,Critical,3.3.5
635,282,Performance,Crash when switching app language,2025-09-02 01:06:56,Resolved,Low,1.9.2
636,534,Crash,Login button not responding on Android,2024-11-21 19:37:52,Resolved,Low,1.2.4
637,236,UI Bug,Push notifications show duplicate messages,2024-10-27 03:27:20,Open,Medium,4.1.3
638,699,UI Bug,Payment gateway fails at checkout,2024-11-27 00:04:47,Open,High,4.1.1
639,316,Network,App freezes after login,2025-06-07 15:05:20,In Progress,High,4.7.8
640,442,Data Loss,Search results take too long to load,2025-07-30 17:26:22,Open,High,3.3.5
641,753,Data Loss,Data not syncing with server,2025-07-15 18:25:06,Resolved,High,1.2.3
642,246,UI Bug,Payment gateway fails at checkout,2025-01-02 02:47:15,Resolved,Critical,5.7.7
643,826,Crash,Push notifications show duplicate messages,2025-02-03 14:19:00,Resolved,Critical,1.3.4
644,378,UI Bug,Push notifications show duplicate messages,2025-08-25 13:40:34,Open,High,5.5.9
645,650,Network,Profile picture upload not working,2025-08-23 05:43:10,Open,Low,1.1.7
646,197,Other,Search results take too long to load,2025-05-25 21:12:35,Resolved,Medium,4.8.5
647,938,UI Bug,Data lost after app update,2025-03-13 03:58:39,Open,Medium,3.4.4
648,296,UI Bug,App logs out automatically,2024-11-19 19:50:49,In Progress,Low,2.9.9
649,840,Crash,Error message displayed incorrectly,2024-09-23 00:24:33,In Progress,Medium,2.5.1
650,700,UI Bug,Slow performance on home screen,2025-04-25 12:55:44,Resolved,Medium,5.6.1
651,415,Performance,Data not syncing with server,2025-06-13 10:17:08,Resolved,Critical,4.5.5
652,54,Data Loss,App logs out automatically,2025-01-29 20:58:24,Resolved,Critical,3.6.7
653,479,Network,Push notifications show duplicate messages,2025-02-08 07:46:11,Resolved,High,1.9.6
654,479,UI Bug,UI elements overlap on small screen,2025-06-23 22:05:49,Resolved,High,3.3.8
655,894,Network,App freezes after login,2024-09-15 03:34:17,Resolved,Low,2.6.4
656,425,Other,Slow performance on home screen,2024-11-19 11:51:48,Resolved,High,2.1.7
657,67,Performance,App freezes after login,2024-12-06 21:37:54,Resolved,Critical,3.8.1
658,95,Performance,Data not syncing with server,2025-06-21 21:02:01,In Progress,Low,2.8.8
659,346,Other,Data not syncing with server,2024-10-05 15:56:38,Open,High,3.1.7
660,211,UI Bug,Login button not responding on Android,2025-08-31 20:24:24,Open,Low,2.0.1
661,538,Crash,Dark mode not applied on some screens,2025-06-06 15:25:11,Open,Low,2.8.0
662,911,Network,App version mismatch after update,2025-03-13 09:28:23,Open,Medium,2.0.2
663,256,Performance,Notifications are not received,2025-08-04 06:21:23,Open,Critical,5.0.7
664,211,UI Bug,Push notifications show duplicate messages,2025-08-07 06:44:30,Open,Critical,5.7.1
665,479,Network,Login button not responding on Android,2025-08-25 08:05:40,In Progress,Critical,5.9.5
666,954,Network,App crashes when opening settings,2025-01-08 13:12:02,In Progress,High,4.8.7
667,139,Crash,Login button not responding on Android,2024-11-12 14:49:11,Open,Low,1.4.8
668,732,Performance,Push notifications show duplicate messages,2025-06-26 09:54:41,In Progress,High,1.6.7
669,483,Network,Location services not detecting city,2025-08-14 05:54:55,Resolved,Medium,3.8.8
670,76,UI Bug,Crash when switching app language,2025-06-19 13:20:50,In Progress,Low,1.5.8
671,984,Performance,Crash when switching app language,2024-10-04 09:27:48,Resolved,Medium,3.6.9
672,470,Network,UI elements overlap on small screen,2025-02-06 19:06:14,In Progress,Critical,2.2.2
673,764,Other,App freezes after login,2025-03-08 11:42:32,Open,Medium,3.2.7
674,25,Performance,App version mismatch after update,2025-05-02 18:34:05,Resolved,Low,3.1.4
675,836,Crash,Crash when switching app language,2025-01-13 18:49:31,Open,Medium,3.4.1
676,502,UI Bug,Keyboard hides input field on iOS,2024-11-03 17:46:15,Open,High,1.3.2
677,897,UI Bug,Error message displayed incorrectly,2025-01-09 10:20:58,Open,Low,5.4.7
678,210,UI Bug,Keyboard hides input field on iOS,2024-12-13 04:34:47,In Progress,Medium,4.7.9
679,511,UI Bug,Login button not responding on Android,2024-10-20 16:09:28,In Progress,Critical,2.7.2
680,789,Other,Notifications are not received,2025-06-06 20:19:11,Open,High,2.8.8
681,430,Crash,Location services not detecting city,2025-06-23 15:58:47,Resolved,Critical,5.9.7
682,646,Crash,Profile picture upload not working,2025-02-26 21:22:02,Open,Low,2.7.1
683,662,Crash,Profile picture upload not working,2025-03-01 05:06:10,Open,Medium,4.0.8
684,273,Data Loss,Payment gateway fails at checkout,2025-07-05 04:20:27,Resolved,Low,2.1.4
685,512,Crash,Payment gateway fails at checkout,2025-02-09 21:41:17,In Progress,Low,2.7.9
686,798,Other,Data lost after app update,2025-02-06 06:58:43,Open,Critical,4.0.5
687,188,Other,Keyboard hides input field on iOS,2025-05-19 15:54:45,Resolved,Medium,3.3.6
688,871,Data Loss,Data lost after app update,2025-02-25 13:42:52,In Progress,Low,3.7.9
689,571,Other,App crashes when opening settings,2024-09-11 21:41:25,Resolved,Low,4.9.0
690,758,Performance,Login button not responding on Android,2025-01-17 08:24:35,Resolved,High,3.1.5
691,644,Other,Login button not responding on Android,2025-07-21 19:17:22,Resolved,High,4.9.2
692,917,UI Bug,Dark mode not applied on some screens,2025-05-13 05:12:55,In Progress,Critical,4.8.2
693,349,Crash,App logs out automatically,2024-09-14 11:07:29,In Progress,Critical,4.9.7
694,556,Network,Keyboard hides input field on iOS,2025-06-18 16:36:28,In Progress,High,2.6.1
695,852,Data Loss,Notifications are not received,2025-08-18 23:14:31,Open,Low,4.0.3
696,876,Performance,UI elements overlap on small screen,2024-09-10 12:35:11,In Progress,Low,5.5.7
697,227,UI Bug,Data not syncing with server,2024-10-26 14:28:36,Open,High,1.4.2
698,501,Crash,Notifications are not received,2025-08-18 17:36:25,Resolved,Critical,1.1.6
699,271,Network,UI elements overlap on small screen,2025-08-16 16:15:41,In Progress,Critical,2.3.0
700,676,Data Loss,Data lost after app update,2025-06-25 13:22:17,Open,Low,1.3.9
701,696,Data Loss,Profile picture upload not working,2025-05-01 09:06:18,Resolved,High,1.5.9
702,506,Data Loss,Payment gateway fails at checkout,2024-09-23 23:03:16,In Progress,High,3.3.0
703,497,Performance,Payment gateway fails at checkout,2025-06-08 06:40:15,Resolved,Medium,5.1.9
704,409,Performance,Error message displayed incorrectly,2025-03-10 00:27:01,In Progress,Low,1.6.6
705,904,Performance,App logs out automatically,2024-10-05 20:14:34,In Progress,Medium,1.3.1
706,805,Crash,Dark mode not applied on some screens,2024-09-22 20:41:19,In Progress,High,2.1.9
707,658,Network,Login button not responding on Android,2025-08-06 16:45:48,In Progress,Medium,3.6.6
708,454,Other,Dark mode not applied on some screens,2025-01-11 07:16:30,Open,Low,2.6.9
709,553,Data Loss,Error message displayed incorrectly,2024-11-25 09:26:20,Resolved,Critical,3.6.7
710,239,Crash,App logs out automatically,2024-10-14 13:33:28,Resolved,Low,2.5.0
711,18,UI Bug,UI elements overlap on small screen,2024-10-01 21:06:50,In Progress,High,2.6.5
712,661,Crash,Slow performance on home screen,2025-01-17 00:40:06,In Progress,Low,3.0.4
713,747,Data Loss,Login button not responding on Android,2025-01-15 19:27:03,Resolved,Critical,2.6.1
714,202,Crash,Search results take too long to load,2024-11-19 12:20:49,Open,High,1.0.9
715,85,Network,App freezes after login,2024-10-11 16:55:06,Resolved,Medium,4.4.1
716,962,Other,Search results take too long to load,2024-09-26 11:34:17,In Progress,High,4.2.7
717,89,Data Loss,Data not syncing with server,2024-12-13 18:44:38,Open,High,5.2.2
718,606,Data Loss,App crashes when opening settings,2025-04-04 07:45:26,Resolved,High,3.6.4
719,913,Data Loss,App freezes after login,2025-08-25 15:49:09,Open,Critical,1.2.9
720,302,Crash,Keyboard hides input field on iOS,2025-05-17 22:26:34,Resolved,High,5.7.0
721,324,Crash,Profile picture upload not working,2025-03-16 15:44:20,Open,Medium,5.7.0
722,230,Data Loss,UI elements overlap on small screen,2024-10-31 21:44:27,Resolved,Low,4.9.4
723,609,Network,Keyboard hides input field on iOS,2024-12-16 18:07:00,In Progress,Medium,5.7.0
724,63,Other,Data not syncing with server,2024-10-09 01:07:19,In Progress,Low,1.2.5
725,190,Other,App version mismatch after update,2025-03-27 08:42:14,In Progress,Medium,3.2.7
726,327,Performance,App logs out automatically,2025-05-13 01:46:54,In Progress,High,4.2.3
727,614,UI Bug,Data not syncing with server,2025-06-14 12:22:56,Open,High,2.9.6
728,217,Network,Login button not responding on Android,2024-09-24 09:42:23,In Progress,Medium,4.0.9
729,904,UI Bug,Dark mode not applied on some screens,2025-07-03 07:37:52,Resolved,High,2.1.2
730,144,Other,App logs out automatically,2025-03-11 14:58:32,Open,Medium,4.8.0
731,402,Crash,Search results take too long to load,2024-12-13 11:56:20,Open,Critical,1.7.3
732,386,Data Loss,Slow performance on home screen,2025-05-22 07:57:55,In Progress,Medium,1.0.7
733,422,Performance,Search results take too long to load,2024-09-08 15:49:29,Resolved,High,4.3.1
734,470,Data Loss,Dark mode not applied on some screens,2024-12-16 19:57:40,In Progress,High,4.8.3
735,290,Other,Scrolling is not smooth,2025-05-18 08:37:12,In Progress,Medium,2.0.8
736,608,Other,Slow performance on home screen,2025-08-16 07:14:12,Open,Low,4.2.4
737,866,Crash,Search results take too long to load,2025-05-21 13:51:55,In Progress,Low,3.9.0
738,823,Performance,Profile picture upload not working,2025-05-13 04:58:28,Resolved,Low,3.8.9
739,50,UI Bug,Profile picture upload not working,2024-10-15 23:45:38,Open,High,5.4.6
740,623,UI Bug,Location services not detecting city,2024-11-11 15:01:42,Resolved,High,3.9.4
741,199,Performance,Login button not responding on Android,2025-02-19 18:39:47,Resolved,Low,5.8.9
742,917,Performance,App logs out automatically,2025-07-08 17:45:38,In Progress,High,4.3.3
743,191,Network,Crash when switching app language,2025-05-06 07:44:16,Resolved,Low,1.0.1
744,378,UI Bug,Profile picture upload not working,2024-11-08 23:30:15,Resolved,Medium,5.1.7
745,747,Data Loss,Slow performance on home screen,2025-05-18 05:52:40,Open,High,1.1.4
746,558,Network,App logs out automatically,2025-05-21 08:41:58,Open,High,5.2.6
747,404,Crash,App freezes after login,2024-10-20 21:09:34,Resolved,Low,2.3.1
748,986,Crash,App logs out automatically,2024-11-21 17:18:11,In Progress,Low,2.3.9
749,214,Data Loss,Error message displayed incorrectly,2025-04-30 21:32:32,Open,High,2.7.8
750,958,Performance,App freezes after login,2025-07-27 12:39:25,Open,Critical,2.4.6
751,117,Data Loss,App freezes after login,2024-12-09 19:01:58,Open,Medium,3.4.2
752,370,Performance,App version mismatch after update,2025-05-04 13:01:46,In Progress,Low,1.1.7
753,85,Data Loss,App crashes when opening settings,2025-06-25 09:01:45,Resolved,Medium,1.3.6
754,169,Other,Profile picture upload not working,2024-09-14 05:22:10,In Progress,Low,5.5.3
755,53,Network,Profile picture upload not working,2024-11-27 00:21:16,In Progress,Low,4.5.3
756,632,UI Bug,Profile picture upload not working,2024-10-14 13:48:32,Resolved,Critical,2.1.9
757,979,UI Bug,Login button not responding on Android,2025-04-12 07:40:29,In Progress,Critical,2.7.2
758,599,Other,Profile picture upload not working,2025-07-06 00:21:47,Resolved,High,1.1.6
759,90,Crash,App logs out automatically,2025-06-20 01:33:24,Resolved,High,4.8.7
760,927,Crash,UI elements overlap on small screen,2024-11-04 12:27:06,Open,Medium,1.2.1
761,880,Network,Dark mode not applied on some screens,2025-07-28 08:39:48,Resolved,Low,5.7.7
762,921,Crash,Payment gateway fails at checkout,2024-11-12 04:45:07,Resolved,High,2.4.5
763,270,Other,Profile picture upload not working,2025-05-04 04:16:37,Resolved,Critical,3.3.4
764,791,Crash,Search results take too long to load,2025-09-05 19:55:01,In Progress,Medium,1.1.4
765,15,UI Bug,App crashes when opening settings,2025-01-01 02:01:45,Resolved,Medium,3.4.3
766,669,UI Bug,Data lost after app update,2025-06-22 21:41:26,Resolved,Critical,3.4.1
767,999,UI Bug,Data not syncing with server,2024-12-24 20:08:24,In Progress,Low,5.3.8
768,932,Other,App version mismatch after update,2024-09-16 18:41:23,In Progress,Critical,1.5.8
769,960,Performance,Scrolling is not smooth,2025-03-26 05:36:35,Resolved,Medium,2.1.3
770,810,Other,Location services not detecting city,2024-10-29 21:32:54,In Progress,High,1.1.2
771,838,Crash,App logs out automatically,2024-11-22 07:03:43,In Progress,High,5.4.5
772,222,Network,Error message displayed incorrectly,2025-06-25 23:38:27,Resolved,Medium,1.2.1
773,200,UI Bug,Keyboard hides input field on iOS,2025-01-21 02:12:10,Open,Medium,3.1.6
774,509,Data Loss,App freezes after login,2025-05-30 05:11:31,Resolved,Low,1.3.3
775,64,Network,App logs out automatically,2025-05-28 12:16:31,Open,Medium,5.5.3
776,11,Performance,App version mismatch after update,2025-06-03 00:12:24,In Progress,Critical,5.5.4
777,936,UI Bug,Profile picture upload not working,2025-04-22 16:05:09,In Progress,Critical,3.4.9
778,497,UI Bug,Location services not detecting city,2024-10-08 23:42:41,Resolved,Medium,1.7.3
779,660,Network,Data not syncing with server,2025-08-30 03:21:06,Resolved,Medium,4.5.6
780,778,Network,Data lost after app update,2024-10-30 11:33:44,In Progress,Low,4.5.4
781,217,Network,UI elements overlap on small screen,2025-04-18 23:14:43,Resolved,Low,5.3.3
782,17,Other,Slow performance on home screen,2025-04-16 07:25:07,Open,High,5.3.7
783,870,Network,Data not syncing with server,2025-07-29 04:40:23,Resolved,Low,1.1.7
784,645,Crash,Scrolling is not smooth,2024-12-08 19:43:03,Open,Critical,4.0.5
785,124,Crash,Payment gateway fails at checkout,2024-11-15 10:51:34,Resolved,Low,2.6.3
786,612,Crash,App crashes when opening settings,2025-03-28 22:55:33,In Progress,Critical,5.2.6
787,821,Data Loss,Crash when switching app language,2024-12-06 01:47:06,Open,Critical,1.3.3
788,969,Performance,Login button not responding on Android,2025-02-26 20:56:22,In Progress,High,5.4.3
789,99,Performance,Search results take too long to load,2025-08-01 08:24:40,Open,High,3.5.0
790,793,Data Loss,Slow performance on home screen,2025-06-01 20:51:02,Resolved,Low,5.3.2
791,477,Other,Notifications are not received,2024-11-29 04:56:05,In Progress,Low,1.7.9
792,19,Performance,Push notifications show duplicate messages,2024-12-03 00:04:18,Resolved,Critical,3.9.2
793,206,Other,Profile picture upload not working,2025-07-01 12:09:38,In Progress,Medium,3.5.0
794,256,Network,Slow performance on home screen,2024-10-30 07:43:57,In Progress,Critical,2.1.0
795,469,Other,Login button not responding on Android,2025-02-08 18:30:24,Open,Medium,1.5.0
796,802,Performance,Login button not responding on Android,2024-09-24 20:46:24,Resolved,Critical,2.3.9
797,201,Data Loss,Search results take too long to load,2024-12-16 03:15:14,In Progress,Low,1.6.3
798,140,Network,Payment gateway fails at checkout,2024-12-12 22:19:26,Resolved,Low,5.1.3
799,770,Network,App crashes when opening settings,2025-08-01 07:39:19,Open,Critical,5.8.2
800,580,Other,Profile picture upload not working,2025-06-16 21:21:36,Open,Low,3.4.7
801,969,Network,App crashes when opening settings,2025-01-30 03:24:08,Resolved,Critical,5.9.6
802,624,Network,Profile picture upload not working,2024-10-21 12:17:15,Resolved,Medium,4.2.4
803,743,Performance,App logs out automatically,2025-02-02 20:45:33,Open,Low,4.9.5
804,205,Network,Notifications are not received,2025-08-15 16:45:07,Resolved,Low,5.5.7
805,501,UI Bug,Payment gateway fails at checkout,2024-10-27 07:12:23,In Progress,Medium,4.5.7
806,175,UI Bug,Location services not detecting city,2024-10-05 12:09:02,Resolved,Medium,4.5.3
807,978,UI Bug,Scrolling is not smooth,2024-09-30 21:02:48,In Progress,Low,1.8.7
808,71,UI Bug,Notifications are not received,2025-01-30 10:27:13,In Progress,Medium,5.2.4
809,337,Performance,App logs out automatically,2024-09-09 20:12:29,Resolved,Medium,3.5.6
810,77,Other,Login button not responding on Android,2024-12-26 01:52:11,Resolved,High,4.7.5
811,511,Performance,Data not syncing with server,2024-10-23 21:48:23,In Progress,Medium,1.1.1
812,587,Performance,App crashes when opening settings,2025-04-21 01:38:04,In Progress,High,1.6.5
813,580,UI Bug,Data lost after app update,2025-01-20 13:18:44,Open,Medium,1.5.6
814,631,Data Loss,Error message displayed incorrectly,2025-07-18 03:59:54,Resolved,Low,5.3.5
815,415,Performance,Data not syncing with server,2025-01-03 19:55:19,In Progress,Critical,4.2.3
816,771,Other,UI elements overlap on small screen,2025-07-29 14:09:08,Open,High,1.1.2
817,615,Other,App version mismatch after update,2025-03-08 07:19:44,In Progress,High,4.4.9
818,665,Other,Notifications are not received,2025-07-30 09:31:58,Resolved,High,3.0.9
819,34,Network,App logs out automatically,2024-12-18 00:31:07,Open,High,1.2.2
820,881,Other,App version mismatch after update,2025-03-20 09:03:26,In Progress,Low,1.6.3
821,202,Data Loss,Location services not detecting city,2024-12-16 14:13:53,Resolved,Critical,5.3.4
822,476,Other,Profile picture upload not working,2025-08-28 14:37:53,In Progress,High,1.3.7
823,511,Network,App freezes after login,2024-10-12 02:26:03,Resolved,Low,2.5.3
824,406,Other,Dark mode not applied on some screens,2025-07-29 02:40:47,Resolved,Medium,4.1.4
825,885,Data Loss,Keyboard hides input field on iOS,2024-12-23 17:09:23,In Progress,Medium,1.2.2
826,81,Crash,Payment gateway fails at checkout,2024-09-20 18:19:54,In Progress,Medium,4.6.6
827,100,Other,Error message displayed incorrectly,2025-08-10 05:01:00,Open,High,2.2.1
828,535,Data Loss,App logs out automatically,2024-11-28 07:57:59,Resolved,High,1.6.8
829,740,UI Bug,Slow performance on home screen,2025-03-01 03:06:17,Open,High,1.0.6
830,932,Network,Error message displayed incorrectly,2025-03-15 04:47:53,Resolved,Medium,3.1.9
831,226,Crash,Push notifications show duplicate messages,2025-02-22 16:40:36,Open,Low,2.6.9
832,317,Data Loss,Search results take too long to load,2024-09-09 04:57:27,Resolved,Critical,5.1.5
833,823,UI Bug,Search results take too long to load,2024-11-28 14:34:40,Resolved,High,5.3.0
834,765,Crash,Dark mode not applied on some screens,2024-11-18 05:42:44,In Progress,Critical,2.2.7
835,36,UI Bug,Profile picture upload not working,2025-06-09 06:56:41,Open,High,4.3.9
836,727,Data Loss,UI elements overlap on small screen,2025-08-04 07:04:06,Resolved,Critical,5.2.5
837,847,Data Loss,Data not syncing with server,2025-06-15 20:51:16,Open,Low,1.7.0
838,312,UI Bug,UI elements overlap on small screen,2024-10-19 13:26:29,Resolved,High,1.6.7
839,94,Data Loss,Login button not responding on Android,2025-05-15 08:13:11,Resolved,Critical,1.9.7
840,804,UI Bug,Search results take too long to load,2025-03-27 03:27:12,Open,Low,5.7.8
841,397,Performance,Slow performance on home screen,2024-10-07 17:46:00,Open,Medium,3.0.0
842,945,Data Loss,App logs out automatically,2025-01-02 04:51:16,In Progress,Medium,4.5.6
843,951,Crash,Scrolling is not smooth,2025-08-19 12:56:03,In Progress,High,1.1.0
844,403,Data Loss,Login button not responding on Android,2024-11-17 09:36:36,In Progress,Low,4.9.1
845,910,Data Loss,Crash when switching app language,2025-03-12 18:35:44,Open,Critical,4.4.2
846,381,Data Loss,Dark mode not applied on some screens,2025-07-29 15:39:46,Open,Medium,3.5.7
847,480,Data Loss,App version mismatch after update,2024-12-17 09:10:07,In Progress,High,3.6.9
848,691,UI Bug,App logs out automatically,2025-04-29 20:45:31,Resolved,Medium,2.7.4
849,860,UI Bug,App crashes when opening settings,2025-05-02 08:27:16,Resolved,Medium,3.7.2
850,760,Network,Payment gateway fails at checkout,2025-02-27 07:59:53,Open,Medium,2.1.0
851,243,UI Bug,Notifications are not received,2025-05-14 14:27:31,Resolved,Medium,3.6.9
852,92,UI Bug,Location services not detecting city,2025-01-11 13:30:28,Resolved,Critical,5.2.6
853,389,Network,Error message displayed incorrectly,2025-06-26 00:59:11,Open,Critical,4.3.4
854,778,UI Bug,App version mismatch after update,2025-04-29 14:42:26,Open,Medium,3.0.3
855,153,Network,Notifications are not received,2025-01-30 14:06:51,Open,Low,1.5.9
856,145,Crash,App crashes when opening settings,2024-10-18 19:49:59,Resolved,High,3.5.9
857,314,Performance,Profile picture upload not working,2025-04-18 19:09:55,Resolved,Low,3.1.9
858,62,Data Loss,Slow performance on home screen,2025-06-26 22:26:56,In Progress,Medium,3.8.8
859,95,Other,Profile picture upload not working,2025-07-17 09:30:33,In Progress,High,5.3.3
860,534,UI Bug,Payment gateway fails at checkout,2025-01-12 17:43:06,Open,High,1.3.6
861,48,UI Bug,App logs out automatically,2025-03-29 06:23:10,Open,Critical,3.7.1
862,413,Other,App logs out automatically,2025-08-12 17:26:06,In Progress,Critical,3.8.1
863,744,Crash,UI elements overlap on small screen,2025-02-08 20:34:38,Open,Medium,1.0.7
864,746,Other,Keyboard hides input field on iOS,2025-02-17 11:08:32,Open,Low,4.8.2
865,846,Data Loss,Crash when switching app language,2024-10-18 11:11:20,In Progress,Medium,1.7.7
866,591,Performance,Slow performance on home screen,2025-04-29 11:23:52,Open,Low,1.1.8
867,191,UI Bug,Profile picture upload not working,2025-01-14 04:40:19,In Progress,High,1.5.6
868,658,Other,Login button not responding on Android,2024-09-25 22:40:39,Open,Medium,4.0.2
869,759,UI Bug,Data not syncing with server,2025-08-03 22:43:04,Open,Critical,1.7.0
870,3,Performance,UI elements overlap on small screen,2025-08-30 22:34:25,Open,High,2.8.7
871,926,UI Bug,UI elements overlap on small screen,2025-06-12 00:04:43,Open,Medium,2.7.7
872,210,Data Loss,Payment gateway fails at checkout,2025-01-19 08:30:32,Resolved,Critical,4.3.7
873,14,Crash,App crashes when opening settings,2024-11-17 00:06:27,Resolved,Critical,3.7.2
874,759,Data Loss,Notifications are not received,2025-07-08 08:43:37,Open,High,4.3.7
875,773,Other,Data lost after app update,2025-02-14 21:10:54,Open,Medium,1.5.9
876,407,Data Loss,Search results take too long to load,2024-10-19 01:42:55,Resolved,Low,4.1.0
877,944,Performance,Login button not responding on Android,2024-10-20 13:15:07,Resolved,Medium,4.0.6
878,626,UI Bug,Payment gateway fails at checkout,2025-02-10 22:48:10,In Progress,High,3.9.0
879,767,UI Bug,Notifications are not received,2025-05-07 10:08:07,In Progress,Medium,2.7.9
880,714,Crash,App logs out automatically,2025-01-24 06:32:34,Resolved,Critical,3.1.4
881,218,Performance,Push notifications show duplicate messages,2024-12-29 15:48:52,Open,Low,4.0.5
882,450,UI Bug,Payment gateway fails at checkout,2025-01-21 19:20:36,Open,Medium,2.8.6
883,255,Network,Profile picture upload not working,2025-04-24 02:32:59,Open,Critical,5.6.7
884,225,Network,Login button not responding on Android,2025-03-30 06:16:48,Resolved,Critical,1.3.0
885,732,Crash,App logs out automatically,2025-05-30 11:37:25,Open,High,5.5.2
886,72,Performance,Location services not detecting city,2025-08-15 17:03:36,Open,Critical,3.3.2
887,790,Network,Scrolling is not smooth,2025-08-24 19:04:00,Open,High,4.9.1
888,437,Performance,Login button not responding on Android,2025-08-02 21:38:03,In Progress,Medium,2.9.9
889,809,Data Loss,Keyboard hides input field on iOS,2025-01-13 08:28:12,In Progress,Critical,4.0.3
890,695,Performance,Slow performance on home screen,2024-12-14 04:17:15,In Progress,High,1.4.2
891,861,Crash,UI elements overlap on small screen,2025-08-13 21:07:35,Open,Critical,4.7.9
892,844,UI Bug,Keyboard hides input field on iOS,2025-02-19 20:54:36,In Progress,Critical,4.4.5
893,163,Data Loss,Location services not detecting city,2025-01-01 22:01:42,In Progress,Critical,5.5.0
894,508,Network,Slow performance on home screen,2025-07-04 15:08:59,In Progress,High,5.4.6
895,964,Crash,Scrolling is not smooth,2025-05-31 01:45:19,Open,High,5.3.4
896,333,Crash,UI elements overlap on small screen,2024-11-02 08:04:43,Resolved,Medium,1.4.5
897,983,Other,Location services not detecting city,2024-12-06 19:19:18,Open,Low,5.2.0
898,758,Data Loss,Login button not responding on Android,2024-12-26 06:41:03,In Progress,High,2.4.5
899,534,Network,App crashes when opening settings,2025-06-18 20:46:05,Open,Critical,2.3.0
900,574,UI Bug,Scrolling is not smooth,2025-08-11 07:14:26,Open,High,2.8.8
901,850,UI Bug,Search results take too long to load,2024-10-17 00:35:37,Open,Low,5.3.2
902,949,UI Bug,Login button not responding on Android,2025-06-28 03:29:52,In Progress,High,1.3.2
903,858,UI Bug,Login button not responding on Android,2024-10-31 12:43:04,Resolved,Medium,2.6.6
904,864,Network,Data lost after app update,2025-02-25 12:44:53,In Progress,High,5.5.7
905,162,Performance,Scrolling is not smooth,2024-10-04 07:54:58,Open,Medium,5.0.8
906,946,UI Bug,App version mismatch after update,2025-03-17 17:07:17,In Progress,Low,5.5.9
907,205,Network,Data not syncing with server,2025-04-26 08:22:07,In Progress,Low,5.2.4
908,851,Performance,Search results take too long to load,2025-01-10 21:10:43,Open,High,4.1.0
909,644,Other,Dark mode not applied on some screens,2025-05-19 18:24:14,In Progress,Critical,2.2.8
910,223,Data Loss,App version mismatch after update,2025-05-09 18:42:07,In Progress,Low,4.0.8
911,357,Network,Profile picture upload not working,2025-08-01 04:06:53,In Progress,Medium,1.3.3
912,330,UI Bug,Scrolling is not smooth,2025-02-21 18:11:24,Resolved,Critical,5.8.8
913,571,Crash,Dark mode not applied on some screens,2025-07-10 11:37:41,In Progress,Critical,4.5.7
914,505,UI Bug,Dark mode not applied on some screens,2024-11-17 18:36:37,Open,Low,1.7.0
915,874,Performance,Error message displayed incorrectly,2024-11-19 05:59:34,In Progress,Medium,1.9.9
916,345,Network,Location services not detecting city,2025-02-01 08:07:54,Open,Critical,2.6.1
917,849,UI Bug,Location services not detecting city,2025-03-30 04:01:05,Open,Medium,4.8.2
918,864,UI Bug,App crashes when opening settings,2025-05-24 22:41:33,Resolved,Medium,4.9.7
919,459,Crash,Push notifications show duplicate messages,2024-11-08 17:51:25,Resolved,Critical,4.8.7
920,519,UI Bug,Payment gateway fails at checkout,2025-08-08 06:56:52,Open,Critical,4.7.9
921,191,Network,Error message displayed incorrectly,2024-11-05 06:28:17,Open,Medium,5.7.2
922,3,Other,Data not syncing with server,2025-07-03 14:06:22,In Progress,Medium,2.9.9
923,367,Performance,Payment gateway fails at checkout,2025-01-26 02:28:42,In Progress,Critical,4.6.3
924,286,Network,App crashes when opening settings,2025-05-17 03:50:13,Resolved,Medium,1.7.4
925,330,Crash,Slow performance on home screen,2025-06-26 12:15:22,Resolved,Medium,2.3.2
926,99,Data Loss,Profile picture upload not working,2024-10-05 20:03:16,Open,Medium,5.6.8
927,329,Crash,App version mismatch after update,2025-05-10 21:33:10,Open,Critical,1.9.0
928,382,Network,Location services not detecting city,2025-02-11 18:11:26,Resolved,Medium,2.1.0
929,1,Network,Login button not responding on Android,2025-06-09 16:24:44,In Progress,Low,4.2.8
930,428,Network,App crashes when opening settings,2024-09-18 15:12:15,In Progress,Critical,5.0.8
931,632,Network,Profile picture upload not working,2025-05-24 12:33:49,Open,Critical,5.4.4
932,412,Network,Scrolling is not smooth,2024-11-08 01:12:49,In Progress,Low,3.1.7
933,741,Performance,Payment gateway fails at checkout,2025-02-08 11:25:17,In Progress,Low,4.2.9
934,793,Data Loss,Payment gateway fails at checkout,2025-04-15 14:11:46,Resolved,High,3.8.7
935,478,Data Loss,App freezes after login,2025-03-21 19:11:38,Resolved,Medium,1.5.4
